Biochar,Microbe,Method,Target_Metal,Removal_%,pH,Time_min,Temp_C,Reausability_cycles,Soil_or_Water,biochar_sustainability_score,microbe_sustainability_score,cost_per_L_filtered,Source,Notes,sustainability_score,reusability_score,MAPI,MAPI_rank,MAPI_metal_rank
wheat straw powders,Klebsiella variicola H12,Adsorption,Cr(VI),96.6,6,600,30,not reported,Water,1.0,0.9,0.0041,https://doi.org/10.1038/s41598-021-85975-z,,0.9,0.5,10602.439024390244,1,1
Rice Straw,Pseudomonas sp. AN-B15,Adsorption,Cd(II),96.7,6,7200,28,not reported,Soil_and_Water,1.0,0.8,0.0041,https://doi.org/10.21203/rs.3.rs-2325452/v1,,0.8,0.5,9434.146341463416,2,1
Wheat straw,Inorganic phosphate solubilizing bacteria,Adsorption,Pb(II),89.39,not reported,600,28,not reported,Soil,1.0,0.9,0.0043,https://doi.org/10.1016/j.ecoenv.2022.113524,,0.9,0.5,9354.767441860466,3,1
Corncob,Pseudomonas sp.,Adsorption,Cr(VI),93.19,not reported,36000,not reported,not reported,Soil,1.0,0.8,0.0043,https://doi.org/10.1016/j.cej.2023.147301,Full paper behind paywall,0.8,0.5,8668.837209302326,4,2
Rice Straw,Bacillus cereus RC-1,Embedding,Cd(II),88.2,7.4,1800,28,not reported,Water,1.0,0.85,0.0045,https://doi.org/10.1016/j.jclepro.2020.122743,,0.85,0.5,8330.0,5,2
Grapefruit peel,Acinetobacter sp. AL-6,Adsorption,Mn(II),99.7,6.5,1440,not reported,not reported,Water,0.8,0.8,0.0039,https://doi.org/10.1016/j.jece.2024.113362,"""pH range of 5, 6.5, and 7. Full paper behind paywall""",0.6400000000000001,0.5,8180.512820512823,6,1
Rice hull,Leclercia adecarboxylata,Embedding,Pb(II),93.0,not reported,1440,28,not reported,Water,1.0,0.7,0.0046,https://doi.org/10.1016/j.jhazmat.2019.121505,Full paper behind paywall,0.7,0.5,7076.086956521739,7,2
Enteromorpha prolifera,Bacillus cereus WHX-1,Adsorption,Cr(VI),94.22,7.1,43200,28,not reported,Soil,0.8,0.85,0.0051,https://doi.org/10.3389/fmicb.2021.641913,"""Meaning of %: The proportion of Cr(III) was 94.22% within 30d""",0.68,0.5,6281.333333333334,8,3
Maize Straw,Pseudomonas frederiksbergensis,Adsorption,Cu(II),62.6,9.6,108000,25,not reported,Soil,1.0,1.0,0.0068,https://doi.org/10.1016/j.envint.2020.105576,"""Biochaar pH is 9.6, soil pH is 7.85""",1.0,0.5,4602.941176470588,9,1
Peanut Shell,Pseudomonas aeruginosa hibiscicola,Adsorption,Ni(II),81.17,not reported,7200,30,not reported,Water,1.0,0.6,0.0053,https://doi.org/10.1016/j.scitotenv.2021.152635,Full paper behind paywall,0.6,0.5,4594.528301886792,10,1
Corn Straw,B. subtilis,Adsorption,Cd(II),62.0,7,9000,30,not reported,Water,1.0,1.0,0.0069,https://doi.org/10.2166/wst.2021.138,,1.0,0.5,4492.753623188406,11,3
Corn stover,Ochrobactrum sp. J023,Adsorption,Pb(II),71.3,8,1440,not reported,not reported,Soil_and_Water,1.0,0.8,0.0077,https://doi.org/10.1016/j.scitotenv.2022.160649,"""pH range between 7.56 and 8.57. Full paper behind paywall""",0.8,0.5,3703.896103896104,12,3
Sludge,Enterobacter sp,Adsorption,Pb(II),60.85,7.3,4320,30,not reported,Water,0.7,0.7,0.0077,https://doi.org/10.1016/j.envint.2019.03.068,,0.48999999999999994,0.5,1936.1363636363635,13,4
Peanut Shell,Pseudomonas aeruginosa hibiscicola,Adsorption,Cu(II),45.84,not reported,7200,30,not reported,Water,1.0,0.6,0.0094,https://doi.org/10.1016/j.scitotenv.2021.152635,Full paper behind paywall,0.6,0.5,1462.9787234042553,14,2
Corncob,Citrobacter sp.,Adsorption,Ni(II),38.2,8.63,72000,25,not reported,Soil,1.0,0.7,0.0118,https://doi.org/10.1080/09593330.2020.1815858,Removal % calculated using table.,0.7,0.5,1133.0508474576272,15,2
Peanut Shell,Pseudomonas aeruginosa hibiscicola,Adsorption,Cr(VI),38.21,not reported,7200,30,not reported,Water,1.0,0.6,0.0113,https://doi.org/10.1016/j.scitotenv.2021.152635,Full paper behind paywall,0.6,0.5,1014.4247787610619,16,4
Corn stalk,Bacillus subtilis + Bacillus cereus + Citrobacter sp. (3:3:2),Adsorption/Embedding,Cd(II),32.5,7.1,108000,20-28,not reported,Soil,1.0,0.8,0.0138,https://doi.org/10.1016/j.jhazmat.2020.123823,Temp_C estimated,0.8,0.5,942.0289855072464,17,4
Maize Straw,Pseudomonas frederiksbergensis,Adsorption,Cd(II),5.4,9.6,108000,25,not reported,Soil,1.0,1.0,0.0833,https://doi.org/10.1016/j.envint.2020.105576,"""Biochaar pH is 9.6, soil pH is 7.85""",1.0,0.5,32.41296518607443,18,5
